Date,Status,X,Y,Z,Source,Time,SessionTime
2024-07-06 15:08:49.351,OnTrack,-1501.0,1536.0,1966.0,pos,0 days 00:00:00.454000,0 days 01:21:36.342000
2024-07-06 15:08:49.651,OnTrack,-1361.0,1716.0,1967.0,pos,0 days 00:00:00.754000,0 days 01:21:36.642000
2024-07-06 15:08:49.931,OnTrack,-1233.0,1890.0,1969.0,pos,0 days 00:00:01.034000,0 days 01:21:36.922000
2024-07-06 15:08:50.111,OnTrack,-1105.0,2067.0,1972.0,pos,0 days 00:00:01.214000,0 days 01:21:37.102000
2024-07-06 15:08:50.391,OnTrack,-1022.0,2181.0,1973.0,pos,0 days 00:00:01.494000,0 days 01:21:37.382000
2024-07-06 15:08:50.731,OnTrack,-844.0,2425.0,1977.0,pos,0 days 00:00:01.834000,0 days 01:21:37.722000
2024-07-06 15:08:51.172,OnTrack,-600.0,2765.0,1983.0,pos,0 days 00:00:02.275000,0 days 01:21:38.163000
2024-07-06 15:08:51.432,OnTrack,-536.0,2859.0,1985.0,pos,0 days 00:00:02.535000,0 days 01:21:38.423000
2024-07-06 15:08:51.811,OnTrack,-345.0,3144.0,1989.0,pos,0 days 00:00:02.914000,0 days 01:21:38.802000
2024-07-06 15:08:52.212,OnTrack,-132.0,3458.0,1995.0,pos,0 days 00:00:03.315000,0 days 01:21:39.203000
2024-07-06 15:08:52.552,OnTrack,-16.0,3620.0,1997.0,pos,0 days 00:00:03.655000,0 days 01:21:39.543000
2024-07-06 15:08:52.752,OnTrack,84.0,3753.0,2000.0,pos,0 days 00:00:03.855000,0 days 01:21:39.743000
2024-07-06 15:08:53.052,OnTrack,321.0,4035.0,2007.0,pos,0 days 00:00:04.155000,0 days 01:21:40.043000
2024-07-06 15:08:53.332,OnTrack,404.0,4121.0,2010.0,pos,0 days 00:00:04.435000,0 days 01:21:40.323000
2024-07-06 15:08:53.532,OnTrack,527.0,4231.0,2011.0,pos,0 days 00:00:04.635000,0 days 01:21:40.523000
2024-07-06 15:08:53.811,OnTrack,718.0,4359.0,2013.0,pos,0 days 00:00:04.914000,0 days 01:21:40.802000
2024-07-06 15:08:53.991,OnTrack,853.0,4422.0,2014.0,pos,0 days 00:00:05.094000,0 days 01:21:40.982000
2024-07-06 15:08:54.211,OnTrack,1143.0,4499.0,2016.0,pos,0 days 00:00:05.314000,0 days 01:21:41.202000
2024-07-06 15:08:54.651,OnTrack,1394.0,4520.0,2018.0,pos,0 days 00:00:05.754000,0 days 01:21:41.642000
2024-07-06 15:08:54.891,OnTrack,1595.0,4518.0,2020.0,pos,0 days 00:00:05.994000,0 days 01:21:41.882000
2024-07-06 15:08:55.091,OnTrack,1842.0,4497.0,2024.0,pos,0 days 00:00:06.194000,0 days 01:21:42.082000
2024-07-06 15:08:55.451,OnTrack,2056.0,4467.0,2026.0,pos,0 days 00:00:06.554000,0 days 01:21:42.442000
2024-07-06 15:08:55.551,OnTrack,2138.0,4456.0,2026.0,pos,0 days 00:00:06.654000,0 days 01:21:42.542000
2024-07-06 15:08:55.751,OnTrack,2303.0,4442.0,2028.0,pos,0 days 00:00:06.854000,0 days 01:21:42.742000
2024-07-06 15:08:56.031,OnTrack,2537.0,4440.0,2031.0,pos,0 days 00:00:07.134000,0 days 01:21:43.022000
