panel/V3_hard_heavy/time_to_lap_s,panel/V5_wet_wets/laps,panel/V1_benign/time_to_lap_s,panel/V4_damp_inters/progress_m,panel/V4_damp_inters/time_to_lap_s,curriculum/steps_in_stage,panel/V3_hard_heavy/progress_m,panel/V2_soft_light/progress_m,panel/V4_damp_inters/laps,panel/V5_wet_wets/time_to_lap_s,panel/V1_benign/laps,panel/V3_hard_heavy/laps,panel/V2_soft_light/laps,panel/V5_wet_wets/progress_m,curriculum/stage_idx,panel/V2_soft_light/time_to_lap_s,panel/V1_benign/progress_m,time/time_elapsed,time/fps,train/n_updates,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,time/episodes,train/ent_coef,time/total_timesteps
300.0,0,300.0,610.1460941609871,300.0,25000,91.24227993754994,218.45877257112897,0,300.0,0,0,0,94.26500768632998,3,300.0,690.796894641534,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,8,1165011,28.1,-197.9254150390625,0.4768851399421692,-6.465319559999999,0.0003,320.3121032714844,7504,0.18090860545635223,1175012
,,,,,,,,,,,,,,,,,3,41,1165153,28.05,-154.96168518066406,0.13129955530166626,-6.382384399999999,0.0003,5070.35791015625,7508,0.18054509162902832,1175154
,,,,,,,,,,,,,,,,,5,49,1165263,28.52,-232.72250366210938,-0.334242582321167,-3.5767880100000013,0.0003,4353.966796875,7512,0.18121221661567688,1175264
,,,,,,,,,,,,,,,,,13,57,1165754,31.36,-205.73849487304688,1.6058382987976074,6.884114809999999,0.0003,838.251708984375,7516,0.17491015791893005,1175755
,,,,,,,,,,,,,,,,,13,58,1165809,31.09,-175.95660400390625,-0.05606728792190552,6.519936489999997,0.0003,233.51658630371094,7520,0.17541010677814484,1175810
,,,,,,,,,,,,,,,,,16,58,1165946,31.67,-191.06097412109375,-0.23373880982398987,9.627975679999997,0.0003,426.0438232421875,7524,0.17528614401817322,1175947
,,,,,,,,,,,,,,,,,17,58,1166047,32.05,-177.4652099609375,-1.020707130432129,9.760789889999996,0.0003,421.60687255859375,7528,0.1756313294172287,1176048
,,,,,,,,,,,,,,,,,19,59,1166180,31.81,-211.02102661132812,-0.4673343300819397,8.412227489999996,0.0003,903.285888671875,7532,0.17786340415477753,1176181
,,,,,,,,,,,,,,,,,20,59,1166234,30.57,-221.09437561035156,0.08827030658721924,3.2350180699999975,0.0003,906.8827514648438,7536,0.17750060558319092,1176235
,,,,,,,,,,,,,,,,,21,59,1166311,30.56,-214.78472900390625,-1.0462783575057983,3.7594045200000012,0.0003,575.4610595703125,7540,0.17557713389396667,1176312
,,,,,,,,,,,,,,,,,23,60,1166399,30.77,-191.8876495361328,-0.4385945498943329,4.21177834,0.0003,229.0513153076172,7544,0.17257563769817352,1176400
,,,,,,,,,,,,,,,,,26,60,1166592,31.61,-169.15089416503906,-0.010495543479919434,3.4941987100000005,0.0003,312.16326904296875,7548,0.16937530040740967,1176593
